Title,Link,Introduction
Bangladesh to get electricity from Nepal through India,/environment/natural-resources/energy/news/bangladesh-get-electricity-nepal-through-india-3719041,"In the first phase, Nepal will export 40 MW of hydroelectricity to Bangladesh via Indian territory, PTI reported from Kathmandu"
Talks with political parties: Govt to sit first with BNP on Saturday,/news/bangladesh/politics/news/talks-political-parties-govt-sit-first-bnp-saturday-3719016,No introduction found
NOTICE,/business/news/notice-3719116,No introduction found
Former food minister Sadhan Chandra arrested,/news/bangladesh/crime-justice/news/former-food-minister-sadhan-chandra-arrested-3719081,No introduction found
Border guards detain 22 fleeing country since August 7: BGB chief,/news/bangladesh/crime-justice/news/border-guards-detain-22-fleeing-country-august-7-bgb-chief-3719086,No introduction found
Doctors find evidence of schoolgirl's rape in Khagrachhari,/news/bangladesh/crime-justice/news/doctors-find-evidence-schoolgirls-rape-khagrachhari-3719071,No introduction found
Police must come out of their cocoon,/opinion/editorial/news/police-must-come-out-their-cocoon-3719101,No introduction found
Iran’s retaliation: What fresh hell awaits the Middle East?,/opinion/views/news/irans-retaliation-what-fresh-hell-awaits-the-middle-east-3718826,No introduction found
BEA rejects ad hoc committee formed by ‘anti-discrimination BEA’,/business/economy/news/bea-rejects-ad-hoc-committee-formed-anti-discrimination-bea-3719111,The BEA also urged the 'anti-discrimination BEA' to stop conducting unfair activities
নেপাল থেকে বিদ্যুৎ আমদানিতে ঢাকা-কাঠমান্ডু-দিল্লি চুক্তি সই,https://bangla.thedailystar.net/environment/natural-resources/electricity-fuel/news-619201,No introduction found
সাইবার সিকিউরিটি আইন অবশ্যই বাতিল করা উচিত: আসিফ নজরুল,https://bangla.thedailystar.net/news/bangladesh/news-619181,No introduction found
সাবেক খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদার গ্রেপ্তার,https://bangla.thedailystar.net/news/bangladesh/crime-justice/news-619186,No introduction found
হিন্দু বাড়িতে হামলা চালিয়ে সর্বস্ব লুটের অভিযোগ বিএনপি নেতার বিরুদ্ধে,https://bangla.thedailystar.net/news/bangladesh/news-619191,No introduction found
বাংলাদেশের পরম আরাধ্য জয়ের ম্যাচে নাহিদার উইকেটের ‘সেঞ্চুরি’,https://bangla.thedailystar.net/sports/sports-special/womens-t20-wc-2024/news-619206,No introduction found
"থানা আওয়ামী লীগ নেতা গফুর গ্রেপ্তার, ‘ছাত্র-জনতার ওপর ছুড়েছিলেন ৯২ গুলি’",https://bangla.thedailystar.net/news/bangladesh/crime-justice/news-619196,No introduction found
নারী টি-টোয়েন্টি বিশ্বকাপে এক দশকের হারের বৃত্ত ভাঙল বাংলাদেশ,https://bangla.thedailystar.net/sports/sports-special/womens-t20-wc-2024/news-619156,No introduction found
আদানির সঙ্গে বিদ্যুৎ চুক্তি খতিয়ে দেখবে জাতীয় রিভিউ কমিটি,https://bangla.thedailystar.net/environment/natural-resources/electricity-fuel/news-619176,No introduction found
Mejbah appointed chief BFF election commissioner for fifth time,/sports/football/news/mejbah-appointed-chief-bff-election-commissioner-fifth-time-3719151,No introduction found
Nahida becomes first Bangladesh woman to claim 100 T20I wickets,/sports/sports-special/womens-t20-wc-2024/news/nahida-becomes-first-bangladesh-woman-claim-100-t20i-wickets-3719051,No introduction found
Why did Shakib suddenly announce his retirement?,/star-multimedia/sports-multimedia/news/why-did-shakib-suddenly-announce-his-retirement-3712931,No introduction found
President seeks global support to solve Rohingya issue,/news/bangladesh/news/president-seeks-global-support-solve-rohingya-issue-3718981,No introduction found
Coordinator Hasnat demands removal of President Sahabuddin,/news/bangladesh/news/coordinator-hasnat-demands-removal-president-sahabuddin-3718971,No introduction found
Special Branch chief Shah Alam retires,/news/bangladesh/news/special-branch-chief-shah-alam-retires-3718931,No introduction found
Nahid Islam named in Time100 Next 2024,/news/bangladesh/news/nahid-islam-named-time100-next-2024-3718936,No introduction found
"Subscribe to the largest circulating English daily on your mobile, just as print",https://epaper.thedailystar.net,No introduction found
Mahmudur Rahman walks out of jail after being granted bail,/news/bangladesh/news/mahmudur-rahman-walks-out-jail-after-being-granted-bail-3718891,No introduction found
Sharat Ritu: The perfect excuse for a lotus pond boat ride,/my-dhaka/news/sharat-ritu-the-perfect-excuse-lotus-pond-boat-ride-3718536,No introduction found
Planter shopping: The quest for the perfect terracotta pot,/my-dhaka/news/planter-shopping-the-quest-the-perfect-terracotta-pot-3715811,No introduction found
National Film Advisory Committee revamped to drive film industry growth,/entertainment/tv-film/news/national-film-advisory-committee-revamped-drive-film-industry-growth-3719021,No introduction found
Doctor pleads guilty in Matthew Perry overdose case,/entertainment/tv-film/news/doctor-pleads-guilty-matthew-perry-overdose-case-3719026,No introduction found
Agontuk Repertory’s ‘Ek Guchchha Golpo’ to premiere on OTT,/entertainment/theatre-arts/news/agontuk-repertorys-ek-guchchha-golpo-premiere-ott-3718771,No introduction found
Seeking thrills? These 7 Halloween destinations will haunt your dreams!,/life-living/travel/news/seeking-thrills-these-7-halloween-destinations-will-haunt-your-dreams-3718911,No introduction found
Why wait for the 'perfect moment'? Start these 5 micro habits today!,/life-living/lifehacks/news/why-wait-the-perfect-moment-start-these-5-micro-habits-today-3718881,No introduction found
35 and pregnant: Navigating the myths and realities,/life-living/relationships-family/news/35-and-pregnant-navigating-the-myths-and-realities-3716096,No introduction found
Enhancing technical and vocational education: Will it solve our youth unemployment crisis?,/campus/skills/news/enhancing-technical-and-vocational-education-will-it-solve-our-youth-unemployment-crisis-3718941,No introduction found
In conversation with Dr James Abdey,/campus/interviews/news/conversation-dr-james-abdey-3718901,No introduction found
Should you go down the commerce path in A levels?,/rising-stars/news/should-you-go-down-the-commerce-path-levels-3711861,No introduction found
Tesla plans new battery designs for Cybertruck and robotaxis: report,/tech-startup/news/tesla-plans-new-battery-designs-cybertruck-and-robotaxis-report-3719161,No introduction found
SWIFT prepares for digital currency transactions in 2025,/tech-startup/news/swift-prepares-digital-currency-transactions-2025-3719091,No introduction found
OpenAI unveils new tool to simplify AI voice assistant development,/tech-startup/news/openai-unveils-new-tool-simplify-ai-voice-assistant-development-3717696,No introduction found
"RMG Worker’s death: JU students block road in protest, rally held in DU",/news/bangladesh/news/rmg-workers-death-ju-students-block-road-protest-rally-held-du-3717021,No introduction found
Yemen's Houthis launch drone attacks on two Israeli military bases,/star-multimedia/news-multimedia/news/yemens-houthis-launch-drone-attacks-two-israeli-military-bases-3717271,No introduction found
"Workers block highway for 2nd day, 15-km tailback in Ashulia",/business/economy/rmg/news/workers-block-highway-2nd-day-15-km-tailback-ashulia-3716961,No introduction found
What happened on the day of Sagar-Runi’s murder,/star-multimedia/news-multimedia/news/what-happened-the-day-sagar-runis-murder-3716376,No introduction found
S Alam's new corruption information: No bank loans and foreign income,/star-multimedia/views-multimedia/news/s-alams-new-corruption-information-no-bank-loans-and-foreign-income-3715516,No introduction found
EVENT REPORT/ Cultivating creativity at Sister Library’s zine-making workshop,/daily-star-books/news/cultivating-creativity-sister-librarys-zine-making-workshop-3715366,No introduction found
ESSAY/ Falling through the cracks of the ‘normal’,/daily-star-books/news/falling-through-the-cracks-the-normal-3712411,No introduction found
BOOK REVIEW: FICTION/ Agonies of the downtrodden,/daily-star-books/news/agonies-the-downtrodden-3712406,No introduction found
REFLECTIONS/ Time-travelling through London and Tehran,/daily-star-books/news/time-travelling-through-london-and-tehran-3711246,No introduction found
ESSAY/ The boundless possibilities of books,/daily-star-books/news/the-boundless-possibilities-books-3707491,No introduction found
THE SHELF/ Books on wheels,/daily-star-books/news/books-wheels-3707486,No introduction found
BOOK REVIEW: NONFICTION/ Navigating Dhaka’s urban labyrinth,/daily-star-books/news/navigating-dhakas-urban-labyrinth-3703771,No introduction found
BOOK REVIEW: FICTION/ Mermaids are real: A story of the Haenyeo,/daily-star-books/news/mermaids-are-real-story-the-haenyeo-3700746,No introduction found
"Probe committee for power, energy sector graft urges people to submit complaints",/environment/natural-resources/energy/news/probe-committee-power-energy-sector-graft-urges-people-submit-complaints-3718801,No introduction found
A horn-free Dhaka from Dec: Rizwana,/news/bangladesh/news/horn-free-dhaka-dec-rizwana-3718546,No introduction found
Bangladesh-India-Nepal tripartite deal to export power to be inked Thursday,/environment/natural-resources/energy/news/bangladesh-india-nepal-tripartite-deal-export-power-be-inked-thursday-3718206,No introduction found
No safari park in Lathitila forest reserve in Moulvibazar,/environment/news/no-safari-park-lathitila-forest-reserve-moulvibazar-3718096,No introduction found
Up to three low pressure areas may form in the Bay in October: Met office,/news/bangladesh/news/three-low-pressure-areas-may-form-the-bay-october-met-office-3717851,No introduction found
"Moderate rain, thundershowers likely across country, temperatures may drop",/environment/weather/news/moderate-rain-thundershowers-likely-across-country-temperatures-may-drop-3717756,No introduction found
Students' movement releases audit report on emergency relief fund,/environment/climate-crisis/natural-disaster/news/students-movement-releases-audit-report-emergency-relief-fund-3717546,No introduction found
Ban on poly bags: Mixed reactions in some shops,/environment/news/ban-poly-bags-mixed-reactions-some-shops-3717251,No introduction found
Today''s Gallery (2024.10.02),/multimedia/homepage/todays-gallery-20241002-3717641,No introduction found
Today's Gallery (2024.09.30),/multimedia/homepage/todays-gallery-20240930-3715831,No introduction found
Today's Gallery (2024.09.28),/multimedia/homepage/todays-gallery-20240928-3714026,No introduction found
Today's Gallery (2024.09.26),/multimedia/homepage/todays-gallery-20240926-3712501,No introduction found
Today's Gallery (2024.09.24),/multimedia/homepage/todays-gallery-20240924-3710736,No introduction found
